iter	Passed	Remaining
357	1534	2751
358	1538	2747
359	1543	2744
360	1548	2741
361	1553	2737
362	1557	2733
363	1561	2728
364	1565	2724
365	1569	2719
366	1573	2714
367	1577	2709
368	1582	2705
369	1586	2701
370	1591	2697
371	1595	2692
372	1599	2688
373	1603	2684
374	1608	2680
375	1612	2676
376	1617	2672
377	1621	2668
378	1625	2663
379	1630	2659
380	1634	2655
381	1638	2650
382	1642	2646
383	1646	2641
384	1651	2637
385	1655	2633
386	1660	2630
387	1665	2626
388	1670	2623
389	1674	2619
390	1679	2615
391	1683	2611
392	1688	2607
393	1693	2604
394	1697	2600
395	1701	2595
396	1706	2591
397	1710	2587
398	1715	2584
399	1720	2580
400	1724	2576
401	1729	2572
402	1734	2569
403	1738	2564
404	1742	2560
405	1746	2555
406	1751	2552
407	1756	2548
408	1760	2543
409	1764	2539
410	1768	2535
411	1773	2530
412	1777	2526
413	1781	2521
414	1785	2517
415	1790	2513
416	1794	2508
417	1799	2505
418	1803	2500
419	1807	2496
420	1812	2493
421	1817	2489
422	1821	2484
423	1825	2480
424	1830	2476
425	1834	2472
426	1839	2468
427	1844	2465
